10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000
10000000, 10000000, 10000000, 01000110, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000
10000000, 10000000, 10000000, 0100.0100100, 10000000, 10000000, 10000000, 10000000, 10000000, 010.0100111, 10000000, 10000000
10000000, 10000000, 01.0100110, 0110.1001111, 10000000, 10000000, 10000000, 10000000, 10000000, 0101.1011110, 10000000, 10000000
10000000, 10000000, 011.1101000, 0110.1101110, 10000000, 10000000, 10000000, 10000000, 010.0001111, 0111.1001110, 10000000, 10000000
10000000, 01110111, 0110.0000001, 010.1000001, 10000000, 10000000, 10000000, 10000000, 0101.1001101, 0111.0101100, 10000000, 10000000
10000000, 0100.0101011, 0111.1101110, 10000000, 10000000, 10000000, 10000000, 10000000, 01000.0000000, 0101.1100110, 10000000, 10000000
01.1101100, 0111.1100011, 0101.0001010, 10000000, 10000000, 10000000, 10000000, 10000000, 0100.1001010, 01011001, 10000000, 10000000
010.0101001, 0110.1010001, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 010.0001010, 10000000, 10000000, 10000000
01.0000011, 010.1000011, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 01.1010111, 10000000, 10000000, 10000000
10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000
10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000
